"id","journal","créé","modif","url","titre","signataire","section","mention IA dans texte"
395109,"Métro Québec",2025-10-01T09:55:00,2025-10-01T06:46:47,"https://metroquebec.com/actualites/395109/metro-quebec-relance-officiellement-ses-activites/","Métro Québec relance officiellement ses activités","Journal Métro","Actualités","non"
3202211,"Journal Métro",2025-09-23T09:38:31,2025-10-01T09:40:15,"https://journalmetro.com/actualites/3202211/grosses-punaises-rouges-arbres-pas-de-probleme-beaconsfield/","De grosses punaises rouges sur vos arbres? Pas d’inquiétude selon Beaconsfield","Journal Métro","Actualités","oui"
3202272,"Journal Métro",2025-09-28T07:00:21,2025-10-01T09:42:01,"https://journalmetro.com/actualites/elections/3202272/la-culture-a-15-minutes-de-chez-soi-promet-luc-rabouin/","La culture à 15 minutes de chez soi, promet Luc Rabouin","Olivier Robichaud","Élections","oui"
3202277,"Journal Métro",2025-10-01T09:42:09,2025-10-01T09:50:31,"https://journalmetro.com/local/mercier-hochelaga-maisonneuve/3202277/montreal-inaugure-les-premiers-jalons-du-corridor-vert-de-l-est/","Montréal inaugure les premiers jalons du corridor vert de l’Est","Journal Métro","Mercier-Hochelaga-Maisonneuve","oui"
3202269,"Journal Métro",2025-09-28T17:00:00,2025-10-01T12:24:42,"https://journalmetro.com/actualites/elections/3202269/ensemble-montreal-veut-faciliter-lacces-a-la-propriete/","Ensemble Montréal veut faciliter l’accès à la propriété","Journal Métro","Élections","oui"
3202240,"Journal Métro",2025-10-01T09:45:22,2025-10-01T15:13:23,"https://journalmetro.com/actualites/3202240/le-journal-metro-relance-officiellement-ses-activites/","Le Journal Métro relance officiellement ses activités","La rédaction","Actualités","non"
395119,"Métro Québec",2025-09-01T09:57:07,2025-10-01T21:25:25,"https://metroquebec.com/actualites/395119/immigration-un-levier-crucial-pour-l-avenir-economique-de-quebec-levis/","Immigration : trois organismes économiques sonnent l’alarme","Quebec Redaction","Actualités","oui"
3202319,"Journal Métro",2025-10-02T06:00:00,2025-10-01T23:53:34,"https://journalmetro.com/actualites/elections/3202319/luc-rabouin-le-marc-carney-de-montreal/","Luc Rabouin, le Marc Carney de Montréal?","Olivier Robichaud","Élections","non"
3202323,"Journal Métro",2025-10-02T06:46:11,2025-10-02T06:46:13,"https://journalmetro.com/local/ids-verdun/3202323/verdun-inaugure-la-place-balconville-en-hommage-a-david-fennario/","Verdun inaugure la place Balconville en hommage à David Fennario","Journal Métro","IDS-Verdun","oui"
3202329,"Journal Métro",2025-10-02T07:01:57,2025-10-02T09:12:30,"https://journalmetro.com/local/rosemont-la-petite-patrie/3202329/montreal-soutient-la-transformation-de-l-ancien-couvent-de-la-resurrection/","Soutien pour 700 logements dans l’ancien couvent de la Résurrection","Journal Métro","Rosemont–La Petite-Patrie","oui"
3202332,"Journal Métro",2025-10-02T11:55:01,2025-10-02T11:55:03,"https://journalmetro.com/local/3202332/greve-de-postes-canada-dorval-recommande-des-alternatives-pour-les-paiements/","Grève de Postes Canada : alternatives de paiement suggérées à Dorval","Journal Métro","Local","oui"
3202311,"Journal Métro",2025-10-01T22:03:20,2025-10-02T12:01:58,"https://journalmetro.com/local/villeray-st-michel-parc-extension/3202311/villeray-saint-michel-parc-extension-reamenagements-et-murales-pour-revitaliser/","Quatre projets pour embellir Villeray et Parc-Extension","Journal Métro","Villeray–Saint-Michel–Parc-Extension","oui"
